T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
40.0,unpCFL,6.746487681617182,2.4290064,60.8755455,-48.59498590568302
40.0,unpCFL,6.786285533796589,2.40634239,59.760749999999994,-49.06269905815402
40.0,unpCFL,6.826089703095389,2.38362672,58.6533985,-49.527109431428
40.0,unpCFL,6.865887555274795,2.36085813,57.55351125,-49.988212979082675
40.0,unpCFL,6.905685407454201,2.33801134,56.45996625,-50.446479600468614
40.0,unpCFL,6.9454832596336065,2.31512772,55.374829250000005,-50.901037940557245
40.0,unpCFL,6.985287428932407,2.29221879,54.298699250000006,-51.35163081427907
40.0,unpCFL,7.025085281111814,2.26928779,53.23176825,-51.79817757646265
40.0,unpCFL,7.064883133291219,2.24634298,52.1744555,-52.24049787442306
40.0,unpCFL,7.104680985470625,2.22335575,51.1254925,-52.67912813840283
40.0,unpCFL,7.1444788376500314,2.20040299,50.088401,-53.112583072648924
40.0,unpCFL,7.1842830069488315,2.17742592,49.0605295,-53.54197519849884
40.0,unpCFL,7.224080859128238,2.15449653,48.04509025,-53.96595236235639
40.0,unpCFL,7.263878711307644,2.13155532,47.039435,-54.385627837536525
40.0,unpCFL,7.30367656348705,2.10864291,46.04534375,-54.80025228861798
40.0,unpCFL,7.34348073278585,2.0857976,45.064422,-55.20914958362928
40.0,unpCFL,7.3832785849652565,2.06296158,44.09414625,-55.6133770882625
40.0,unpCFL,7.423076437144663,2.04017644,43.1362525,-56.01220532799731
40.0,unpCFL,7.462874289324068,2.01747794,42.19216025,-56.40503705201395
40.0,unpCFL,7.502678458622867,1.99484064,41.26072325,-56.79235639486448
40.0,unpCFL,7.542476310802275,1.97224133,40.34092975,-57.17458355107226
40.0,unpCFL,7.5822741629816806,1.94974663,39.43540475,-57.55061682896747
40.0,unpCFL,7.622072015161087,1.92733065,38.54299375,-57.92094242243569
40.0,unpCFL,7.661869867340493,1.90500238,37.663953750000005,-58.28545137494292
40.0,unpCFL,7.701674036639292,1.88279562,36.799485499999996,-58.64364173822553
40.0,unpCFL,7.741471888818699,1.86065564,35.94734525,-58.99645207061202
40.0,unpCFL,7.7812697409981055,1.83864907,35.1099735,-59.34286242233318
40.0,unpCFL,7.821067593177512,1.81674851,34.28618175,-59.68337000088663
40.0,unpCFL,7.860871762476311,1.79496347,33.47619075,-60.01788384682329
40.0,unpCFL,7.900669614655716,1.77329683,32.6799665,-60.34641804046836
40.0,unpCFL,7.940467466835124,1.75177755,31.898409500000003,-60.66859890974068
40.0,unpCFL,7.98026531901453,1.73038826,31.130720000000004,-60.98476012808952
40.0,unpCFL,8.020069488313329,1.70912961,30.37676325,-61.29496203940663
40.0,unpCFL,8.059867340492735,1.68800795,29.63660325,-61.59917733971112
40.0,unpCFL,8.099665192672141,1.6670284,28.910251249999998,-61.897402980905326
40.0,unpCFL,8.13946304485155,1.64621607,28.1983905,-62.189358152748014
40.0,unpCFL,8.179267214150348,1.62555242,27.5001985,-62.47538643454766
40.0,unpCFL,8.219065066329753,1.60504165,26.815637249999998,-62.755506787944256
40.0,unpCFL,8.258862918509159,1.58468517,26.14457275,-63.029775452551206
40.0,unpCFL,8.298660770688565,1.56451006,25.48770025,-63.297909724360174
40.0,unpCFL,8.338458622867973,1.54449715,24.8441942,-63.56025365375108
40.0,unpCFL,8.378262792166772,1.52464864,24.213935525,-63.81685892022317
40.0,unpCFL,8.418060644346179,1.50496748,23.596826575,-64.06776970328842
40.0,unpCFL,8.457858496525585,1.48547727,22.99340215,-64.31276999958105
40.0,unpCFL,8.49765634870499,1.46615943,22.402879125000002,-64.5521844964783
40.0,unpCFL,8.53746051800379,1.44701596,21.8251229,-64.7860752382095
40.0,unpCFL,8.577258370183197,1.42804883,21.25999635,-65.01450080272578
40.0,unpCFL,8.617056222362603,1.40926029,20.707368199999998,-65.23751952572613
40.0,unpCFL,8.656854074542009,1.39067184,20.16766165,-65.45496369921499
40.0,unpCFL,8.696658243840808,1.37226534,19.64014,-65.66713892273054
40.0,unpCFL,8.736456096020214,1.35402397,19.124132875,-65.87432472770742
40.0,unpCFL,8.77625394819962,1.33600356,18.621011250000002,-66.07596614569799
40.0,unpCFL,8.816051800379027,1.31815201,18.129111375,-66.27274722412422
40.0,unpCFL,8.855855969677828,1.30048782,17.648755,-66.46454265136303
40.0,unpCFL,8.895653821857234,1.28302819,17.180203575,-66.65125205938985
40.0,unpCFL,8.93545167403664,1.26575829,16.72285325,-66.83312692749045
40.0,unpCFL,8.975249526216045,1.24866197,16.27608995,-67.01042060214156
40.0,unpCFL,9.015047378395451,1.23177201,15.840576024999999,-67.18287191535875
40.0,unpCFL,9.054851547694252,1.21507322,15.415718575,-67.35072829775054
40.0,unpCFL,9.094649399873658,1.19856544,15.0013221,-67.51407410160216
40.0,unpCFL,9.134447252053064,1.18225014,14.5972337,-67.67297712698411
40.0,unpCFL,9.17424510423247,1.16614024,14.203577775,-67.82739621070915
40.0,unpCFL,9.21404927353127,1.15020892,13.8195131,-67.97767498505176
40.0,unpCFL,9.253847125710676,1.13446885,13.445166825000001,-68.12376875712575
40.0,unpCFL,9.293644977890082,1.11892146,13.080391474999999,-68.26574469782052
40.0,unpCFL,9.333442830069488,1.10356623,12.724993600000001,-68.40368675193305
40.0,unpCFL,9.373246999368288,1.08838967,12.3784887,-68.53779620210362
40.0,unpCFL,9.413044851547696,1.07341776,12.0412938,-68.66791496928707
40.0,unpCFL,9.452842703727102,1.05863691,11.712922875,-68.79424484843771
40.0,unpCFL,9.492640555906506,1.044035,11.392940625,-68.91696356878924
40.0,unpCFL,9.532438408085913,1.02962346,11.081433749999999,-69.03604781951915
40.0,unpCFL,9.572242577384712,1.01540169,10.778222575,-69.1515768902834
40.0,unpCFL,9.61204042956412,1.00135889,10.4829168,-69.26370968893237
40.0,unpCFL,9.651838281743526,0.987515801,10.195790875,-69.3723523777116
40.0,unpCFL,9.691636133922932,0.973839655,9.916009800000001,-69.47783491712948
40.0,unpCFL,9.731440303221731,0.960352035,9.643866724999999,-69.58005572661376
40.0,unpCFL,9.771238155401138,0.947052276,9.379192974999999,-69.6790901041975
40.0,unpCFL,9.811036007580544,0.933929549,9.121624525,-69.77508692898842
40.0,unpCFL,9.85083385975995,0.920983822,8.871018175,-69.86811245462108
40.0,unpCFL,9.89063802905875,0.908224544,8.627413,-69.95816462728656
40.0,unpCFL,9.930435881238155,0.895633301,8.39031885,-70.04543699094928
40.0,unpCFL,9.970233733417562,0.883219053,8.1597698,-70.12993167702766
40.0,unpCFL,10.010031585596968,0.870982439,7.935643600000001,-70.21170640954027
40.0,unpCFL,10.049835754895767,0.85892488,7.717831725000001,-70.29081566115659
40.0,unpCFL,10.089633607075173,0.847038008,7.506054000000001,-70.36737868481174
40.0,unpCFL,10.12943145925458,0.835323695,7.300216924999999,-70.44144544655968
40.0,unpCFL,10.169229311433986,0.823785127,7.100251849999999,-70.51306012548241
40.0,unpCFL,10.209027163613394,0.812417737,6.905956399999999,-70.58231631654685
40.0,unpCFL,10.248831332912193,0.801220078,6.717186750000001,-70.64929191012786
40.0,unpCFL,10.288629185091597,0.790201701,6.533983474999999,-70.71400165381488
40.0,unpCFL,10.328427037271004,0.779355453,6.356110774999999,-70.77657388404309
40.0,unpCFL,10.36822488945041,0.768696198,6.183693625,-70.8370297178537
40.0,unpCFL,10.40802905874921,0.758239888,6.0168701,-70.89544994103542
40.0,unpCFL,10.447826910928617,0.741848308,5.7588104,-70.97535552777835
40.0,unpCFL,10.487624763108023,0.731520168,5.599751025,-71.02947982045114
40.0,unpCFL,10.52742261528743,0.721343347,5.445191675,-71.08186354048522
40.0,unpCFL,10.567226784586229,0.711332955,5.295261875,-71.13264283754062
40.0,unpCFL,10.607024636765635,0.701483761,5.149781775,-71.18305662375127
